id,err,cp
1236,0.768,0
1237,8.598,0
1238,8.283,0
1239,8.367,0
1240,11.118,0
1241,10.824,0
1242,10.866,0
1243,10.278,0
1244,11.58,0
1245,12.546,0
1246,13.092,0
1247,12.987,0
1248,13.281,0
1249,13.449,0
1250,13.26,0
1251,12.378,0
1252,13.071,0
1253,13.491,0
1254,12.798,0
1255,13.638,0
1256,14.1,0
1257,13.785,0
1258,13.68,0
1259,12.987,0
1260,10.866,0
1261,9.417,0
1262,9.564,0
1263,9.165,0
1264,9.858,0
1265,8.661,0
1266,10.152,0
1267,13.029,0
1268,14.478,0
1269,14.1,0
1270,14.226,0
1271,13.806,0
1272,13.659,0
1273,13.848,0
1274,14.373,0
1275,14.331,0
1276,12.903,0
1277,72.3975,1
1278,130.1175,0
1279,128.67,0
1280,107.325,0
1281,30.9075,0
1282,4.629,0
1283,10.026,0
1284,10.005,0
1285,10.173,0
1286,10.866,0
1287,20.61,0
1288,23.907,0
1289,24.096,0
1290,71.3325,1
1291,143.4825,0
1292,137.985,0
1293,51.7425,0
1294,12.819,0
1295,12.357,0
1296,14.289,0
1297,25.86,0
1298,25.23,0
1299,25.041,0
1300,25.125,0
1301,24.663,0
1302,82.59,1
1303,141.5925,0
1304,139.1175,0
1305,117.48,0
1306,52.8975,0
1307,11.685,0
1308,7.17,0
1309,9.186,0
1310,11.475,0
1311,11.433,0
1312,21.849,0
1313,23.508,0
1314,87.3675,1
1315,160.125,0
1316,142.5825,0
1317,57.285,0
1318,11.874,0
1319,9.795,0
1320,23.949,0
1321,25.272,0
1322,24.936,0
1323,24.6,0
1324,23.907,0
1325,12.378,0
1326,69.9525,1
1327,127.4475,0
1328,82.305,0
1329,6.498,0
1330,9.375,0
1331,11.412,0
1332,11.559,0
1333,11.517,0
1334,11.769,0
1335,12,0
1336,11.601,0
1337,6.96,0
1338,95.4,1
1339,127.4025,0
1340,128.745,0
1341,53.5425,0
1342,12.294,0
1343,11.538,0
1344,10.803,0
1345,16.977,0
1346,23.13,0
1347,23.382,0
1348,23.403,0
1349,81.405,1
1350,140.5875,0
1351,135.7725,0
1352,77.5425,0
1353,11.937,0
1354,12.861,0
1355,12.168,0
1356,13.134,0
1357,12.168,0
1358,13.155,0
1359,12.714,0
1360,12.42,0
1361,11.958,0
1362,12.252,0
1363,12.483,0
1364,12.399,0
1365,12.462,0
1366,12.588,0
1367,11.937,0
1368,10.614,0
1369,7.716,0
1370,7.401,0
1371,6.897,0
1372,7.233,0
1373,7.779,0
1374,7.842,0
1375,10.824,0
1376,12.483,0
1377,12.42,0
1378,13.05,0
1379,13.575,0
1380,13.617,0
1381,13.932,0
1382,13.596,0
1383,13.512,0
1384,12.819,0
1385,9.795,0
1386,9.564,0
1387,9.375,0
1388,8.766,0
1389,8.661,0
1390,8.325,0
1391,7.926,0
1392,8.535,0
1393,8.325,0
1394,10.194,0
1395,10.446,0
1396,10.845,0
1397,11.58,0
1398,11.79,0
1399,12.441,0
1400,9.438,0
1401,8.913,0
1402,9.543,0
1403,9.522,0
1404,4.671,0
1405,3.288,0
1406,3.456,0
1407,3.519,0
1408,1.797,0
1409,9.354,0
1410,8.241,0
1411,7.821,0
1412,7.632,0
1413,7.716,0
1414,7.863,0
1415,7.821,0
1416,8.325,0
1417,6.666,0
1418,8.094,0
1419,8.031,0
1420,10.362,0
1421,60.4125,1
1422,122.22,0
1423,115.935,0
1424,102.72,0
1425,3.519,0
1426,1.44,0
1427,1.608,0
1428,1.692,0
1429,11.517,0
1430,3.939,0
1431,4.779,0
1432,5.346,0
1433,0.66,0
1434,7.002,0
1435,6.561,0
1436,6.687,0
1437,6.876,0
1438,8.451,0
1439,10.341,0
1440,10.719,0
1441,10.446,0
1442,10.593,0
1443,10.782,0
1444,10.488,0
1445,10.698,0
1446,7.905,0
1447,7.002,0
1448,7.149,0
1449,6.792,0
1450,7.632,0
1451,9.522,0
1452,11.097,0
1453,23.298,0
1454,23.907,0
1455,10.719,0
1456,10.656,0
1457,11.097,0
1458,11.286,0
1459,11.223,0
1460,11.223,0
1461,5.406,0
1462,1.881,0
1463,1.986,0
1464,1.692,0
1465,1.671,0
1466,1.86,0
1467,8.514,0
1468,11.265,0
1469,11.139,0
1470,11.223,0
1471,11.055,0
1472,10.929,0
1473,10.677,0
1474,10.635,0
1475,11.034,0
1476,10.74,0
1477,10.656,0
1478,11.097,0
1479,11.034,0
1480,11.391,0
1481,11.097,0
1482,11.139,0
1483,11.58,0
1484,11.979,0
1485,12.105,0
1486,11.727,0
1487,11.349,0
1488,11.454,0
1489,11.727,0
1490,11.37,0
1491,11.244,0
1492,11.328,0
1493,11.244,0
1494,11.139,0
1495,8.115,0
1496,5.346,0
1497,5.241,0
1498,5.178,0
1499,5.241,0
1500,5.052,0
1501,3.75,0
1502,0.831,0
1503,11.601,0
1504,11.748,0
1505,11.433,0
1506,10.908,0
1507,10.908,0
1508,11.412,0
1509,11.538,0
1510,11.454,0
1511,11.202,0
1512,10.992,0
1513,10.803,0
1514,10.971,0
1515,10.971,0
1516,11.475,0
